




Analysis Type:	PANTHER Overrepresentation Test (Released 20190517)
Annotation Version and Release Date:	PANTHER version 14.1 Released 2019-03-12
Analyzed List:	ythdf2_vennexclusive_genenames.bed (Homo sapiens)	There are duplicate IDs in the file. The unique set of IDs will be used.
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Biological Process	Homo sapiens - REFLIST (20996)	ythdf2_vennexclusive_genenames.bed (2349)	ythdf2_vennexclusive_genenames.bed (expected)	ythdf2_vennexclusive_genenames.bed (over/under)	ythdf2_vennexclusive_genenames.bed (fold Enrichment)	ythdf2_vennexclusive_genenames.bed (raw P-value)	ythdf2_vennexclusive_genenames.bed (FDR)
cellular macromolecule localization (GO:0070727)	857	140	95.88	+	1.46	5.14E-05	1.59E-03
ribonucleoprotein complex biogenesis (GO:0022613)	138	35	15.44	+	2.27	5.95E-05	1.81E-03
protein ubiquitination (GO:0016567)	200	45	22.38	+	2.01	6.48E-05	1.94E-03
immune effector process (GO:0002252)	175	4	19.58	-	.20	8.41E-05	2.43E-03
positive regulation of lymphocyte activation (GO:0051251)	92	0	10.29	-	 < 0.01	8.68E-05	2.44E-03
innate immune response (GO:0045087)	173	4	19.35	-	.21	8.32E-05	2.45E-03
nervous system process (GO:0050877)	609	37	68.13	-	.54	8.60E-05	2.45E-03
cell surface receptor signaling pathway (GO:0007166)	716	47	80.10	-	.59	1.41E-04	3.89E-03
protein modification by small protein conjugation (GO:0032446)	217	46	24.28	+	1.89	1.83E-04	4.91E-03
protein modification by small protein conjugation or removal (GO:0070647)	217	46	24.28	+	1.89	1.83E-04	4.99E-03
intracellular protein transport (GO:0006886)	714	117	79.88	+	1.46	2.05E-04	5.42E-03
system process (GO:0003008)	717	48	80.22	-	.60	2.34E-04	6.09E-03
regulation of cellular amide metabolic process (GO:0034248)	50	17	5.59	+	3.04	2.61E-04	6.69E-03
cellular developmental process (GO:0048869)	302	14	33.79	-	.41	3.17E-04	7.92E-03
cell differentiation (GO:0030154)	302	14	33.79	-	.41	3.17E-04	8.03E-03
regulation of translation (GO:0006417)	47	16	5.26	+	3.04	3.87E-04	9.40E-03
actin polymerization or depolymerization (GO:0008154)	66	20	7.38	+	2.71	3.86E-04	9.50E-03
inflammatory response (GO:0006954)	101	1	11.30	-	.09	4.09E-04	9.80E-03
protein folding (GO:0006457)	117	29	13.09	+	2.22	4.28E-04	1.01E-02
ribosome biogenesis (GO:0042254)	119	29	13.31	+	2.18	4.76E-04	1.11E-02
regulation of RNA metabolic process (GO:0051252)	85	23	9.51	+	2.42	5.36E-04	1.22E-02
regulation of metabolic process (GO:0019222)	1347	196	150.70	+	1.30	5.33E-04	1.23E-02
response to stimulus (GO:0050896)	1190	94	133.14	-	.71	5.78E-04	1.30E-02
regulation of mRNA metabolic process (GO:1903311)	65	19	7.27	+	2.61	7.00E-04	1.55E-02
RNA 3'-end processing (GO:0031123)	51	16	5.71	+	2.80	8.07E-04	1.77E-02
ubiquitin-dependent protein catabolic process (GO:0006511)	68	19	7.61	+	2.50	9.93E-04	2.15E-02
regulation of mRNA processing (GO:0050684)	62	18	6.94	+	2.59	1.04E-03	2.23E-02
mRNA metabolic process (GO:0016071)	38	13	4.25	+	3.06	1.28E-03	2.71E-02
actin cytoskeleton organization (GO:0030036)	179	37	20.03	+	1.85	1.31E-03	2.73E-02
organelle assembly (GO:0070925)	130	29	14.54	+	1.99	1.38E-03	2.83E-02
actin filament organization (GO:0007015)	130	29	14.54	+	1.99	1.38E-03	2.86E-02
positive regulation of cytosolic calcium ion concentration (GO:0007204)	65	0	7.27	-	 < 0.01	1.57E-03	2.97E-02
protein N-linked glycosylation (GO:0006487)	29	11	3.24	+	3.39	1.53E-03	2.99E-02
actin filament polymerization (GO:0030041)	59	17	6.60	+	2.58	1.55E-03	2.99E-02
mRNA processing (GO:0006397)	34	12	3.80	+	3.15	1.57E-03	2.99E-02
nucleic acid metabolic process (GO:0090304)	386	67	43.19	+	1.55	1.52E-03	3.00E-02
RNA metabolic process (GO:0016070)	275	51	30.77	+	1.66	1.51E-03	3.02E-02
cytoplasmic translation (GO:0002181)	44	14	4.92	+	2.84	1.50E-03	3.03E-02
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	12	7	1.34	+	5.21	1.75E-03	3.21E-02
cell cycle checkpoint (GO:0000075)	12	7	1.34	+	5.21	1.75E-03	3.24E-02
adaptive immune response (GO:0002250)	137	4	15.33	-	.26	1.80E-03	3.27E-02
regulation of cell cycle G2/M phase transition (GO:1902749)	12	7	1.34	+	5.21	1.75E-03	3.27E-02
cellular component organization (GO:0016043)	1723	238	192.77	+	1.23	1.93E-03	3.39E-02
response to heat (GO:0009408)	30	11	3.36	+	3.28	1.90E-03	3.42E-02
mitotic cell cycle phase transition (GO:0044772)	61	17	6.82	+	2.49	1.92E-03	3.42E-02
regulation of protein complex assembly (GO:0043254)	31	11	3.47	+	3.17	2.35E-03	3.98E-02
phagocytosis (GO:0006909)	121	3	13.54	-	.22	2.31E-03	4.00E-02
nuclear transport (GO:0051169)	31	11	3.47	+	3.17	2.35E-03	4.01E-02
protein localization to endoplasmic reticulum (GO:0070972)	9	6	1.01	+	5.96	2.31E-03	4.03E-02
regulation of cell cycle process (GO:0010564)	64	17	7.16	+	2.37	2.75E-03	4.61E-02
regulation of cell cycle phase transition (GO:1901987)	32	11	3.58	+	3.07	2.87E-03	4.73E-02
retrograde vesicle-mediated transport, Golgi to ER (GO:0006890)	27	10	3.02	+	3.31	2.85E-03	4.74E-02
regulation of cytosolic calcium ion concentration (GO:0051480)	84	1	9.40	-	.11	3.01E-03	4.92E-02
